id;description;amount;timestamp;merchant;operation_type;side
8317;"Invoice from Fnac";-1313,48;"2024-04-10 22:17:52";"Fnac";"payment";"debit"
8318;"Purchase at Carrefour";-290,26;"2023-06-09 21:18:41";"Carrefour";"direct_debit";"debit"
8319;"Incoming transfer";3543,89;"2023-05-10 23:54:12";"Carrefour";"direct_debit";"credit"
8320;"Outgoing transfer";-1215,53;"2024-01-28 04:35:14";"EDF";"payment";"debit"
8321;"Online payment";-1516,13;"2023-09-27 10:20:27";"Systeme U";"transfer";"debit"
8322;"Refund from Carrefour";-1273,48;"2023-02-16 06:18:02";"Carrefour";"direct_debit";"debit"
8323;"Direct debit";-1248,74;"2023-08-30 23:35:12";"Deliveroo";"direct_debit";"debit"
8324;"Purchase at Lidl";3182,81;"2023-10-02 14:05:02";"Lidl";"payment";"credit"
8325;"Direct debit";-546,38;"2023-10-21 05:29:42";"Carrefour";"payment";"debit"
8326;"Invoice from EDF";3115,33;"2023-09-06 23:03:25";"EDF";"refund";"credit"
8327;"Incoming transfer";-37,84;"2023-10-29 03:54:30";"Darty";"payment";"debit"
8328;"Incoming transfer";-1356,83;"2024-03-30 13:36:08";"Intermarche";"direct_debit";"debit"
8329;"Receipt from Uber";-476,48;"2023-08-17 19:59:34";"Uber";"transfer";"debit"
8330;"Outgoing transfer";1024,22;"2023-05-16 06:03:36";"TotalEnergies";"direct_debit";"credit"
8331;"Outgoing transfer";313,72;"2023-09-05 20:45:08";"Lidl";"payment";"credit"
8332;"Receipt from SNCF";-172,49;"2024-02-14 20:36:55";"SNCF";"payment";"debit"
8333;"Direct debit";-302,62;"2023-07-08 05:33:49";"La Poste";"refund";"debit"
8334;"Invoice from SNCF";-1167,99;"2023-08-18 02:02:08";"SNCF";"refund";"debit"
8335;"Invoice from Veolia";3708,60;"2023-12-07 22:21:52";"Veolia";"payment";"credit"
8336;"Online payment";-1588,27;"2024-02-10 03:35:50";"Auchan";"payment";"debit"
8337;"Online payment";692,61;"2023-03-14 20:44:43";"TotalEnergies";"direct_debit";"credit"
8338;"Outgoing transfer";-110,98;"2024-03-28 00:43:44";"Transilien";"payment";"debit"
8339;"Refund from Carrefour";4300,30;"2024-01-07 19:34:52";"Carrefour";"refund";"credit"
8340;"Outgoing transfer";3111,45;"2023-07-30 02:10:34";"Transilien";"transfer";"credit"
8341;"Online payment";719,10;"2023-01-20 13:02:34";"Auchan";"refund";"credit"
8342;"Purchase at EDF";-867,84;"2024-01-03 19:11:54";"EDF";"transfer";"debit"
8343;"Incoming transfer";-1696,42;"2023-04-02 22:15:04";"SNCF";"direct_debit";"debit"
8344;"Refund from Bouygues";1030,33;"2023-03-14 03:04:59";"Bouygues";"direct_debit";"credit"
8345;"Subscription to Air France";-1243,10;"2023-04-16 11:25:53";"Air France";"payment";"debit"
8346;"Purchase at Monoprix";-1853,37;"2023-06-29 09:55:24";"Monoprix";"refund";"debit"
8347;"Direct debit";-1986,36;"2023-07-10 06:15:43";"Carrefour";"transfer";"debit"
8348;"Incoming transfer";4816,78;"2023-08-03 08:10:21";"Amazon.fr";"direct_debit";"credit"
8349;"Card expense at Systeme U";-1591,67;"2023-12-06 01:37:37";"Systeme U";"payment";"debit"
8350;"Invoice from Intermarche";-1423,89;"2023-12-30 03:33:01";"Intermarche";"payment";"debit"
8351;"Invoice from Leclerc";-1317,74;"2023-04-17 12:28:24";"Leclerc";"refund";"debit"
8352;"Outgoing transfer";-820,19;"2024-04-07 23:17:07";"SNCF";"refund";"debit"
8353;"Subscription to Auchan";-231,98;"2023-11-24 03:17:37";"Auchan";"refund";"debit"
8354;"Card expense at Darty";464,01;"2023-04-28 03:22:12";"Darty";"payment";"credit"
8355;"Subscription to RATP";-1278,24;"2024-01-31 23:04:26";"RATP";"direct_debit";"debit"
8356;"Card expense at Carrefour";-408,01;"2023-08-03 04:11:48";"Carrefour";"refund";"debit"
8357;"Online payment";4222,91;"2023-12-12 14:30:27";"Fnac";"payment";"credit"
8358;"Receipt from La Poste";-802,92;"2023-10-01 19:25:43";"La Poste";"direct_debit";"debit"
8359;"Incoming transfer";-647,07;"2024-03-06 03:19:13";"TotalEnergies";"payment";"debit"
8360;"Incoming transfer";-666,14;"2023-01-14 10:07:40";"RATP";"transfer";"debit"
8361;"Direct debit";-1025,45;"2023-09-12 12:54:46";"EDF";"refund";"debit"
8362;"Card expense at Uber";-1907,36;"2023-03-19 18:56:48";"Uber";"direct_debit";"debit"
8363;"Refund from Bouygues";-1571,25;"2023-01-06 06:47:21";"Bouygues";"payment";"debit"
8364;"Card expense at Deliveroo";4378,59;"2023-12-06 17:17:51";"Deliveroo";"direct_debit";"credit"
8365;"Outgoing transfer";-926,20;"2024-02-09 11:50:15";"TotalEnergies";"refund";"debit"
8366;"Receipt from La Poste";-512,72;"2023-12-17 20:59:50";"La Poste";"refund";"debit"
8367;"Receipt from Auchan";-963,25;"2023-10-11 21:49:45";"Auchan";"transfer";"debit"
8368;"Online payment";1003,66;"2023-01-21 04:14:22";"Fnac";"direct_debit";"credit"
8369;"Receipt from Uber";-270,82;"2023-02-07 10:57:39";"Uber";"transfer";"debit"
8370;"Outgoing transfer";3390,51;"2023-08-11 13:21:08";"La Poste";"refund";"credit"
8371;"Receipt from Lidl";-852,18;"2023-07-02 14:13:44";"Lidl";"refund";"debit"
8372;"Outgoing transfer";-1571,54;"2023-08-27 08:49:27";"Auchan";"payment";"debit"
8373;"Invoice from Uber";-879,83;"2023-08-09 14:52:36";"Uber";"direct_debit";"debit"
8374;"Refund from Monoprix";-1215,36;"2023-10-06 18:42:05";"Monoprix";"transfer";"debit"
8375;"Outgoing transfer";4888,94;"2023-07-02 13:07:57";"Systeme U";"transfer";"credit"
8376;"Refund from Deliveroo";-719,50;"2024-03-30 01:00:36";"Deliveroo";"refund";"debit"
8377;"Outgoing transfer";-1580,83;"2024-04-18 16:07:55";"Fnac";"transfer";"debit"
8378;"Outgoing transfer";-1613,79;"2024-01-21 04:24:28";"La Poste";"transfer";"debit"
8379;"Invoice from Deliveroo";-947,30;"2024-03-06 17:14:43";"Deliveroo";"refund";"debit"
8380;"Subscription to Franprix";-1933,32;"2023-06-11 11:02:44";"Franprix";"refund";"debit"
8381;"Receipt from Transilien";3603,55;"2024-03-16 07:35:13";"Transilien";"refund";"credit"
8382;"Invoice from Bouygues";-1008,68;"2024-03-04 17:07:02";"Bouygues";"transfer";"debit"
8383;"Subscription to Systeme U";-1434,65;"2024-02-25 14:37:07";"Systeme U";"direct_debit";"debit"
8384;"Outgoing transfer";-1260,21;"2023-10-03 05:59:09";"Bouygues";"payment";"debit"
8385;"Online payment";2830,48;"2024-03-04 18:36:37";"Transilien";"payment";"credit"
8386;"Refund from Leclerc";-1291,87;"2023-08-25 23:56:16";"Leclerc";"direct_debit";"debit"
8387;"Receipt from Bouygues";-1559,96;"2023-07-29 11:43:52";"Bouygues";"direct_debit";"debit"
8388;"Direct debit";-202,39;"2024-04-21 19:38:48";"Franprix";"payment";"debit"
8389;"Card expense at TotalEnergies";1480,15;"2023-04-14 01:48:15";"TotalEnergies";"transfer";"credit"
8390;"Invoice from Intermarche";-1803,28;"2024-01-08 09:16:07";"Intermarche";"refund";"debit"
8391;"Invoice from Deliveroo";2282,93;"2023-04-16 23:41:53";"Deliveroo";"refund";"credit"
8392;"Subscription to Air France";-854,85;"2023-02-09 12:14:38";"Air France";"direct_debit";"debit"
8393;"Card expense at EDF";-1113,39;"2023-11-16 02:41:47";"EDF";"direct_debit";"debit"
8394;"Online payment";3792,65;"2023-05-20 02:24:45";"Franprix";"transfer";"credit"
8395;"Outgoing transfer";-1571,04;"2024-01-24 09:05:58";"Systeme U";"transfer";"debit"
8396;"Direct debit";3786,97;"2023-02-27 07:40:22";"Air France";"direct_debit";"credit"
8397;"Refund from Bouygues";-1906,22;"2023-12-29 01:50:15";"Bouygues";"direct_debit";"debit"
8398;"Online payment";-1155,03;"2023-07-01 19:07:33";"EDF";"payment";"debit"
8399;"Purchase at SNCF";-208,24;"2023-03-01 16:35:05";"SNCF";"transfer";"debit"
8400;"Invoice from Transilien";-759,38;"2023-10-06 11:01:55";"Transilien";"refund";"debit"
8401;"Refund from La Poste";-934,74;"2024-01-16 06:24:33";"La Poste";"refund";"debit"
8402;"Invoice from Uber";-424,51;"2023-10-14 15:08:09";"Uber";"payment";"debit"
8403;"Subscription to Darty";3218,24;"2023-03-20 00:29:28";"Darty";"refund";"credit"
8404;"Online payment";-164,05;"2023-04-21 11:05:28";"Fnac";"direct_debit";"debit"
8405;"Receipt from Deliveroo";-215,44;"2024-04-11 11:14:23";"Deliveroo";"transfer";"debit"
8406;"Incoming transfer";103,49;"2024-01-03 13:53:26";"Leclerc";"refund";"credit"
8407;"Outgoing transfer";4493,17;"2024-03-20 17:59:22";"Transilien";"refund";"credit"
8408;"Purchase at TotalEnergies";-302,57;"2024-03-28 17:30:16";"TotalEnergies";"payment";"debit"
8409;"Receipt from RATP";-628,07;"2024-03-25 10:45:06";"RATP";"refund";"debit"
8410;"Card expense at Leclerc";-651,19;"2023-08-26 22:08:53";"Leclerc";"transfer";"debit"
8411;"Refund from Carrefour";4779,56;"2023-06-20 03:40:40";"Carrefour";"direct_debit";"credit"
8412;"Card expense at Air France";-1452,57;"2023-01-01 00:08:45";"Air France";"direct_debit";"debit"
8413;"Subscription to Darty";-929,43;"2023-10-21 12:57:12";"Darty";"payment";"debit"
8414;"Direct debit";-879,00;"2023-11-26 19:30:18";"Lidl";"payment";"debit"
8415;"Card expense at Lidl";-717,20;"2023-04-30 12:54:10";"Lidl";"payment";"debit"
8416;"Outgoing transfer";214,76;"2023-12-30 17:53:17";"TotalEnergies";"refund";"credit"
8417;"Refund from Lidl";-1966,07;"2023-03-16 14:13:49";"Lidl";"direct_debit";"debit"
8418;"Invoice from Monoprix";-1417,11;"2024-02-09 03:17:32";"Monoprix";"refund";"debit"
8419;"Refund from Lidl";-530,54;"2024-03-15 02:27:40";"Lidl";"refund";"debit"
8420;"Receipt from Transilien";-1673,73;"2024-02-25 22:05:49";"Transilien";"payment";"debit"
8421;"Card expense at Amazon.fr";-1836,18;"2023-10-13 03:27:05";"Amazon.fr";"payment";"debit"
8422;"Direct debit";-1488,61;"2023-12-09 16:35:58";"TotalEnergies";"transfer";"debit"
8423;"Invoice from Leclerc";-1278,28;"2024-01-07 08:02:05";"Leclerc";"payment";"debit"
8424;"Outgoing transfer";-1411,37;"2023-02-02 20:11:59";"EDF";"transfer";"debit"
8425;"Card expense at Veolia";1980,08;"2024-03-28 03:26:58";"Veolia";"direct_debit";"credit"
8426;"Online payment";-565,60;"2024-02-16 00:06:08";"Auchan";"payment";"debit"
8427;"Online payment";-1562,44;"2024-01-12 22:37:24";"Orange";"transfer";"debit"
8428;"Refund from Veolia";4115,34;"2023-11-11 02:18:32";"Veolia";"payment";"credit"
8429;"Incoming transfer";-79,36;"2023-01-08 13:07:04";"Fnac";"payment";"debit"
8430;"Incoming transfer";-464,17;"2024-02-18 06:51:54";"Air France";"payment";"debit"
8431;"Invoice from Franprix";-893,20;"2023-01-08 08:31:32";"Franprix";"transfer";"debit"
8432;"Outgoing transfer";-1302,55;"2023-03-09 17:38:51";"Monoprix";"transfer";"debit"
8433;"Refund from Transilien";-627,96;"2023-02-10 14:51:53";"Transilien";"direct_debit";"debit"
8434;"Online payment";-699,16;"2023-06-01 11:13:37";"Monoprix";"direct_debit";"debit"
8435;"Outgoing transfer";870,02;"2024-01-09 13:49:49";"TotalEnergies";"direct_debit";"credit"
8436;"Invoice from EDF";-1346,90;"2023-10-05 11:21:00";"EDF";"refund";"debit"
8437;"Subscription to SNCF";3908,52;"2023-10-13 02:17:49";"SNCF";"transfer";"credit"
8438;"Refund from Deliveroo";-1794,30;"2024-02-29 07:19:55";"Deliveroo";"transfer";"debit"
8439;"Direct debit";4655,05;"2023-11-29 16:07:48";"EDF";"payment";"credit"
8440;"Incoming transfer";-40,47;"2023-07-06 03:32:55";"Fnac";"payment";"debit"
8441;"Invoice from Deliveroo";4524,16;"2023-11-11 14:56:48";"Deliveroo";"transfer";"credit"
8442;"Direct debit";1379,94;"2023-09-12 16:49:53";"Fnac";"payment";"credit"
8443;"Refund from EDF";-1670,82;"2024-03-18 11:51:33";"EDF";"payment";"debit"
8444;"Card expense at Transilien";-68,02;"2023-05-08 22:30:49";"Transilien";"refund";"debit"
8445;"Subscription to SFR";4121,79;"2023-11-08 02:38:52";"SFR";"refund";"credit"
8446;"Card expense at Auchan";1666,94;"2024-04-16 20:07:22";"Auchan";"payment";"credit"
8447;"Subscription to Amazon.fr";-482,57;"2023-12-21 01:19:46";"Amazon.fr";"direct_debit";"debit"
8448;"Invoice from SNCF";-384,05;"2023-03-30 13:58:46";"SNCF";"direct_debit";"debit"
8449;"Receipt from Orange";656,42;"2023-04-01 18:17:26";"Orange";"payment";"credit"
8450;"Direct debit";-905,88;"2023-03-08 12:03:53";"Monoprix";"transfer";"debit"
8451;"Subscription to Darty";894,81;"2024-03-25 07:29:44";"Darty";"transfer";"credit"
8452;"Receipt from Amazon.fr";2534,72;"2023-03-02 16:54:02";"Amazon.fr";"direct_debit";"credit"
8453;"Subscription to Carrefour";-1810,28;"2023-08-01 14:50:12";"Carrefour";"payment";"debit"
8454;"Receipt from Franprix";597,88;"2023-03-29 19:29:48";"Franprix";"direct_debit";"credit"
8455;"Online payment";-850,61;"2023-06-26 08:40:14";"TotalEnergies";"payment";"debit"
8456;"Online payment";-654,75;"2024-03-20 19:12:01";"SNCF";"refund";"debit"
8457;"Card expense at Orange";-1994,15;"2024-03-16 08:59:59";"Orange";"refund";"debit"
8458;"Purchase at Bouygues";-571,71;"2024-02-01 07:34:08";"Bouygues";"direct_debit";"debit"
8459;"Invoice from Deliveroo";4382,46;"2023-03-18 14:41:46";"Deliveroo";"direct_debit";"credit"
8460;"Purchase at RATP";-1599,25;"2024-04-05 12:14:29";"RATP";"transfer";"debit"
8461;"Purchase at Carrefour";-100,99;"2023-03-19 20:28:05";"Carrefour";"payment";"debit"
8462;"Outgoing transfer";-1613,44;"2024-04-09 10:35:16";"Orange";"transfer";"debit"
8463;"Subscription to Systeme U";2224,09;"2023-02-22 07:13:24";"Systeme U";"refund";"credit"
8464;"Receipt from Franprix";4112,32;"2023-05-22 06:37:25";"Franprix";"refund";"credit"
8465;"Online payment";-1182,72;"2023-04-20 01:24:13";"SNCF";"direct_debit";"debit"
8466;"Outgoing transfer";-1038,28;"2024-04-10 07:18:21";"SFR";"refund";"debit"
8467;"Subscription to Orange";-469,24;"2024-03-19 05:46:28";"Orange";"payment";"debit"
8468;"Incoming transfer";1729,81;"2023-04-28 13:37:55";"EDF";"payment";"credit"
8469;"Card expense at Systeme U";-1167,93;"2024-04-22 05:45:37";"Systeme U";"refund";"debit"
8470;"Online payment";-48,17;"2023-11-27 00:37:58";"SFR";"refund";"debit"
8471;"Receipt from Amazon.fr";1470,92;"2023-09-02 17:09:51";"Amazon.fr";"payment";"credit"
8472;"Receipt from Monoprix";988,77;"2023-08-06 05:06:41";"Monoprix";"refund";"credit"
8473;"Receipt from Deliveroo";-892,61;"2023-01-03 07:41:50";"Deliveroo";"direct_debit";"debit"
8474;"Incoming transfer";560,06;"2024-04-06 22:15:39";"RATP";"transfer";"credit"
8475;"Card expense at RATP";-596,37;"2023-10-29 03:31:40";"RATP";"transfer";"debit"
8476;"Invoice from Monoprix";-54,10;"2023-02-20 19:42:52";"Monoprix";"payment";"debit"
8477;"Invoice from Orange";-645,65;"2023-11-23 05:02:23";"Orange";"transfer";"debit"
8478;"Refund from Uber";-147,80;"2023-02-25 19:43:50";"Uber";"direct_debit";"debit"
8479;"Purchase at Bouygues";-1160,10;"2023-07-16 22:28:16";"Bouygues";"refund";"debit"
8480;"Online payment";-644,19;"2023-03-14 12:42:50";"Systeme U";"direct_debit";"debit"
8481;"Receipt from Carrefour";-51,59;"2023-01-18 08:17:28";"Carrefour";"direct_debit";"debit"
8482;"Incoming transfer";3518,15;"2023-10-29 09:11:29";"TotalEnergies";"transfer";"credit"
8483;"Card expense at Amazon.fr";1379,32;"2024-01-19 20:26:28";"Amazon.fr";"payment";"credit"
8484;"Direct debit";-1073,67;"2023-11-28 09:46:58";"SFR";"transfer";"debit"
8485;"Incoming transfer";-1200,49;"2023-10-16 02:45:07";"Bouygues";"payment";"debit"
8486;"Online payment";-1516,91;"2023-03-19 06:22:44";"Auchan";"payment";"debit"
8487;"Receipt from Orange";-653,19;"2023-05-14 17:46:54";"Orange";"refund";"debit"
8488;"Direct debit";-303,95;"2023-02-23 03:19:24";"Deliveroo";"transfer";"debit"
8489;"Direct debit";721,29;"2023-01-31 23:10:10";"Transilien";"direct_debit";"credit"
8490;"Card expense at Intermarche";3174,77;"2023-09-20 02:48:37";"Intermarche";"refund";"credit"
8491;"Online payment";-1159,13;"2023-06-09 19:11:56";"Amazon.fr";"transfer";"debit"
8492;"Invoice from Deliveroo";-371,43;"2023-09-16 17:41:23";"Deliveroo";"direct_debit";"debit"
8493;"Outgoing transfer";1140,45;"2023-03-04 04:07:05";"Orange";"payment";"credit"
8494;"Purchase at RATP";103,69;"2024-04-22 14:59:58";"RATP";"direct_debit";"credit"
8495;"Invoice from Darty";-1558,25;"2023-10-21 02:18:08";"Darty";"direct_debit";"debit"
8496;"Subscription to Darty";-500,89;"2023-12-29 19:04:19";"Darty";"transfer";"debit"
8497;"Outgoing transfer";-1437,43;"2023-01-20 18:08:33";"Carrefour";"transfer";"debit"
8498;"Online payment";402,48;"2023-03-30 06:17:42";"Lidl";"payment";"credit"
8499;"Online payment";3262,95;"2023-11-22 04:50:51";"Monoprix";"payment";"credit"
8500;"Refund from Veolia";1082,14;"2023-05-18 09:09:20";"Veolia";"payment";"credit"
8501;"Receipt from EDF";-1881,46;"2024-02-03 09:50:58";"EDF";"transfer";"debit"
8502;"Direct debit";-669,63;"2023-09-27 09:51:42";"Uber";"payment";"debit"
8503;"Purchase at Systeme U";-170,61;"2023-09-07 23:25:13";"Systeme U";"transfer";"debit"
8504;"Incoming transfer";-564,58;"2023-02-12 23:32:10";"Auchan";"payment";"debit"
8505;"Subscription to Leclerc";-1969,13;"2024-04-09 01:19:15";"Leclerc";"refund";"debit"
8506;"Online payment";-565,10;"2023-11-11 20:38:12";"Lidl";"transfer";"debit"
8507;"Online payment";-991,81;"2023-01-10 17:57:16";"Orange";"refund";"debit"
8508;"Receipt from Orange";-1428,19;"2024-04-03 20:11:15";"Orange";"refund";"debit"
8509;"Direct debit";-528,52;"2023-10-20 03:04:51";"Auchan";"direct_debit";"debit"
8510;"Direct debit";3983,82;"2023-03-21 06:20:55";"SNCF";"refund";"credit"
8511;"Card expense at Uber";-898,94;"2023-01-20 00:56:44";"Uber";"transfer";"debit"
8512;"Outgoing transfer";3000,94;"2023-05-25 07:56:20";"Transilien";"refund";"credit"
8513;"Subscription to Uber";-444,08;"2023-10-19 18:13:44";"Uber";"direct_debit";"debit"
8514;"Direct debit";-1493,92;"2023-03-20 16:54:22";"Auchan";"payment";"debit"
8515;"Receipt from Deliveroo";-646,07;"2023-10-15 00:23:48";"Deliveroo";"transfer";"debit"
8516;"Outgoing transfer";4635,36;"2023-03-01 17:58:04";"RATP";"direct_debit";"credit"
8517;"Purchase at Transilien";-354,39;"2023-12-14 19:51:44";"Transilien";"payment";"debit"
8518;"Receipt from Orange";943,09;"2024-03-29 22:55:08";"Orange";"refund";"credit"
8519;"Incoming transfer";1957,57;"2023-04-05 02:54:22";"Darty";"payment";"credit"
8520;"Invoice from Veolia";-1020,18;"2023-07-17 10:18:08";"Veolia";"refund";"debit"
8521;"Direct debit";-1417,29;"2024-03-06 14:05:37";"Uber";"payment";"debit"
8522;"Purchase at EDF";2347,39;"2023-05-09 19:26:09";"EDF";"transfer";"credit"
8523;"Purchase at EDF";-386,20;"2024-01-17 18:21:15";"EDF";"payment";"debit"
8524;"Purchase at Franprix";3742,53;"2023-03-18 09:31:32";"Franprix";"refund";"credit"
8525;"Subscription to TotalEnergies";-78,64;"2023-03-25 20:28:08";"TotalEnergies";"direct_debit";"debit"
8526;"Direct debit";-510,75;"2023-04-23 22:57:16";"RATP";"transfer";"debit"
8527;"Receipt from Lidl";-1406,78;"2023-04-12 18:36:23";"Lidl";"direct_debit";"debit"
8528;"Subscription to Orange";-1471,26;"2023-01-14 01:14:22";"Orange";"transfer";"debit"
8529;"Subscription to Leclerc";4714,68;"2023-07-09 06:56:23";"Leclerc";"payment";"credit"
8530;"Online payment";1137,56;"2023-01-20 04:24:04";"EDF";"refund";"credit"
8531;"Online payment";190,03;"2023-02-05 09:52:31";"SFR";"refund";"credit"
8532;"Incoming transfer";2376,68;"2023-12-04 01:25:52";"SNCF";"refund";"credit"
8533;"Card expense at TotalEnergies";-302,12;"2023-07-28 03:16:02";"TotalEnergies";"payment";"debit"
8534;"Invoice from Orange";-537,99;"2023-11-30 19:59:40";"Orange";"refund";"debit"
8535;"Purchase at Darty";-650,87;"2023-06-08 03:20:39";"Darty";"payment";"debit"
8536;"Refund from Carrefour";-1568,34;"2023-01-11 21:40:13";"Carrefour";"payment";"debit"
8537;"Refund from Franprix";-1517,52;"2024-01-04 13:33:13";"Franprix";"refund";"debit"
8538;"Receipt from Systeme U";-283,06;"2023-06-17 06:19:06";"Systeme U";"transfer";"debit"
8539;"Refund from Transilien";-1842,33;"2023-12-20 22:47:54";"Transilien";"direct_debit";"debit"
8540;"Incoming transfer";-1926,29;"2023-12-05 12:24:08";"Fnac";"transfer";"debit"
8541;"Incoming transfer";-90,01;"2023-07-14 12:09:09";"Transilien";"direct_debit";"debit"
8542;"Refund from Lidl";-1718,85;"2023-08-27 00:11:47";"Lidl";"refund";"debit"
8543;"Invoice from Amazon.fr";2909,69;"2023-10-03 00:55:56";"Amazon.fr";"transfer";"credit"
8544;"Direct debit";-1891,54;"2023-05-07 09:02:50";"Fnac";"direct_debit";"debit"
8545;"Incoming transfer";-525,44;"2024-01-13 16:37:33";"Franprix";"direct_debit";"debit"
8546;"Purchase at Veolia";-1303,05;"2023-04-02 08:45:51";"Veolia";"payment";"debit"
8547;"Refund from Lidl";3696,36;"2023-04-29 08:26:22";"Lidl";"direct_debit";"credit"
8548;"Refund from Fnac";3037,38;"2023-05-12 06:42:56";"Fnac";"payment";"credit"
8549;"Refund from Leclerc";4610,57;"2023-09-03 14:32:00";"Leclerc";"refund";"credit"
8550;"Online payment";4783,33;"2023-11-22 03:38:18";"EDF";"refund";"credit"
8551;"Subscription to Carrefour";-1494,78;"2023-04-16 12:46:12";"Carrefour";"payment";"debit"
8552;"Outgoing transfer";-667,75;"2024-03-01 23:40:38";"TotalEnergies";"refund";"debit"
8553;"Purchase at Bouygues";-1863,98;"2023-11-23 17:19:25";"Bouygues";"refund";"debit"
8554;"Incoming transfer";-1213,98;"2023-10-28 14:44:30";"Systeme U";"payment";"debit"
8555;"Outgoing transfer";-857,86;"2023-11-13 21:28:09";"Air France";"refund";"debit"
8556;"Direct debit";982,37;"2024-03-26 02:03:28";"Transilien";"refund";"credit"
8557;"Refund from Deliveroo";-122,23;"2023-09-24 00:56:16";"Deliveroo";"direct_debit";"debit"
8558;"Subscription to Transilien";-295,72;"2023-10-20 07:24:16";"Transilien";"refund";"debit"
8559;"Refund from EDF";-1583,97;"2023-08-09 02:48:00";"EDF";"transfer";"debit"
8560;"Receipt from EDF";4687,89;"2023-04-15 00:10:15";"EDF";"transfer";"credit"
8561;"Receipt from Transilien";4147,02;"2024-03-22 17:34:58";"Transilien";"refund";"credit"
8562;"Invoice from Bouygues";22,92;"2024-02-02 21:26:43";"Bouygues";"payment";"credit"
8563;"Invoice from Carrefour";90,17;"2024-02-21 18:38:16";"Carrefour";"transfer";"credit"
8564;"Incoming transfer";-953,21;"2024-02-20 04:05:15";"RATP";"payment";"debit"
8565;"Outgoing transfer";-947,02;"2023-08-06 11:01:09";"Systeme U";"direct_debit";"debit"
8566;"Card expense at TotalEnergies";-699,35;"2024-01-04 10:16:46";"TotalEnergies";"payment";"debit"
8567;"Refund from Amazon.fr";-752,35;"2023-06-11 22:06:48";"Amazon.fr";"direct_debit";"debit"
8568;"Invoice from La Poste";-1530,76;"2023-11-02 02:49:15";"La Poste";"direct_debit";"debit"
8569;"Direct debit";-356,49;"2023-07-22 01:10:05";"Bouygues";"direct_debit";"debit"
8570;"Refund from Auchan";-873,35;"2023-01-30 05:14:32";"Auchan";"payment";"debit"
8571;"Invoice from EDF";-1341,39;"2024-02-02 17:51:44";"EDF";"direct_debit";"debit"
8572;"Direct debit";-1315,84;"2023-05-28 10:50:45";"Monoprix";"transfer";"debit"
8573;"Receipt from Air France";-1525,61;"2023-01-28 15:03:42";"Air France";"refund";"debit"
8574;"Receipt from Monoprix";4286,15;"2023-04-05 15:01:41";"Monoprix";"refund";"credit"
8575;"Incoming transfer";4633,19;"2023-10-17 21:19:58";"Intermarche";"direct_debit";"credit"
8576;"Online payment";4884,75;"2024-03-20 12:42:31";"Leclerc";"refund";"credit"
8577;"Online payment";-228,68;"2024-02-25 06:39:53";"RATP";"payment";"debit"
8578;"Invoice from Franprix";-1292,61;"2023-09-14 22:56:44";"Franprix";"transfer";"debit"
8579;"Receipt from EDF";-1631,38;"2024-01-08 00:01:43";"EDF";"payment";"debit"
8580;"Direct debit";-1240,02;"2023-03-15 07:38:49";"Amazon.fr";"refund";"debit"
8581;"Incoming transfer";3839,44;"2024-03-14 04:04:18";"Transilien";"direct_debit";"credit"
8582;"Receipt from Bouygues";75,96;"2023-01-28 22:21:24";"Bouygues";"direct_debit";"credit"
8583;"Direct debit";87,53;"2023-11-08 10:34:06";"Uber";"refund";"credit"
8584;"Purchase at RATP";2287,32;"2023-08-02 19:12:10";"RATP";"payment";"credit"
8585;"Online payment";333,94;"2023-06-30 16:31:46";"Amazon.fr";"direct_debit";"credit"
8586;"Subscription to SFR";1939,02;"2023-06-17 07:47:03";"SFR";"refund";"credit"
8587;"Refund from Darty";2376,13;"2024-02-13 11:16:04";"Darty";"transfer";"credit"
8588;"Online payment";4008,02;"2023-04-29 12:01:03";"Carrefour";"payment";"credit"
8589;"Outgoing transfer";-780,24;"2023-08-16 22:44:08";"Air France";"payment";"debit"
8590;"Receipt from Uber";4308,82;"2023-01-18 03:50:53";"Uber";"direct_debit";"credit"
8591;"Online payment";-976,57;"2023-04-10 22:31:37";"TotalEnergies";"refund";"debit"
8592;"Incoming transfer";-653,88;"2023-12-23 09:01:19";"EDF";"transfer";"debit"
8593;"Receipt from EDF";-594,64;"2024-01-14 03:03:56";"EDF";"refund";"debit"
8594;"Outgoing transfer";-811,85;"2023-09-17 03:59:47";"Intermarche";"direct_debit";"debit"
8595;"Subscription to TotalEnergies";-73,84;"2023-01-09 03:04:43";"TotalEnergies";"transfer";"debit"
8596;"Refund from Orange";-509,07;"2023-11-02 09:52:48";"Orange";"refund";"debit"
8597;"Online payment";-1815,23;"2023-05-21 04:16:30";"Franprix";"refund";"debit"
8598;"Subscription to La Poste";-253,84;"2023-10-12 16:41:54";"La Poste";"transfer";"debit"
8599;"Online payment";3912,15;"2023-09-11 13:33:13";"Carrefour";"payment";"credit"
8600;"Purchase at SFR";1345,87;"2023-12-03 06:55:32";"SFR";"payment";"credit"
8601;"Receipt from Carrefour";4760,05;"2023-01-01 23:40:02";"Carrefour";"direct_debit";"credit"
8602;"Receipt from Fnac";3305,95;"2023-06-09 17:55:47";"Fnac";"payment";"credit"
8603;"Purchase at RATP";-974,32;"2023-05-29 21:02:05";"RATP";"direct_debit";"debit"
8604;"Purchase at Franprix";-505,14;"2024-01-10 09:36:36";"Franprix";"transfer";"debit"
8605;"Subscription to EDF";1826,96;"2023-12-20 01:35:03";"EDF";"direct_debit";"credit"
